,kor,eng,rgb,ycbcr
94,오치드, orchid,"218,112,214","155.32,161.11,172.71"
95,바이올렛, violet,"238,130,238","174.6,163.78,173.22"
96,플럼, plum,"221,160,221","185.19,148.21,153.54"
97,씨슬, thistle,"216,191,216","201.32,136.28,138.47"
98,미디움바이올렛레드, mediumvioletred,"199,21,133","86.99,153.96,207.89"
99,딥핑크, deeppink,"255,20,147","104.74,151.85,235.17"
100,마젠타, magenta,"255,0,255","105.31,212.47,234.77"
101,퍼츠샤, fuchsia,"255,0,255","105.31,212.47,234.77"
102,팔레바이올렛레드, palevioletred,"219,112,147","147.98,127.44,178.65"
103,핫핑크, hotpink,"255,105,180","158.4,140.19,196.9"
104,라이트핑크, lightpink,"255,182,193","205.08,121.18,163.61"
105,핑크, pink,"255,192,203","212.09,122.87,158.61"
106,미스티로즈, mistyrose,"255,228,225","235.73,121.94,141.74"
107,블란체달몬드, blanchedalmond,"255,235,205","237.56,109.63,140.44"
108,안티크화이트, antiquewhite,"250,235,215","237.2,115.47,137.13"
109,파파야윕, papayawhip,"255,239,213","240.82,112.3,138.11"
110,린넨, linen,"250,240,230","241.85,121.31,133.81"
111,베이지, beige,"245,245,220","242.15,115.5,130.03"
112,올드래이스, oldlace,"253,245,230","245.68,119.15,133.22"
113,씨쉘, seashell,"255,245,238","247.19,122.81,133.57"
114,콘실크, cornsilk,"255,248,220","246.9,112.82,133.78"
115,레몬치폰, lemonchiffon,"255,250,205","246.37,104.66,134.16"
116,후로랄화이트, floralwhite,"255,250,240","250.36,122.16,131.31"
117,라이트옐로우, lightyellow,"255,255,224","251.47,112.5,130.52"
118,아이보리, ivory,"255,255,240","253.29,120.5,129.22"
119,화이트, white,"255,255,255","255.0,128.0,128.0"
120,민트크림, mintcream,"245,255,250","251.44,127.19,123.41"
121,허니듀, honeydew,"240,255,240","248.81,123.03,121.72"
122,애쥬어, azure,"240,255,255","250.51,130.53,120.5"
123,스노우, snow,"255,250,250","251.5,127.16,130.5"
124,고스트화이트, ghostwhite,"248,248,255","248.8,131.5,127.43"
125,라이트시안, lightcyan,"224,255,255","245.73,133.23,112.5"
126,앨리스블루, aliceblue,"240,248,255","246.41,132.85,123.43"
127,화이트스모크, whitesmoke,"245,245,245","245.0,128.0,128.0"
128,라벤더블러시, lavenderblush,"255,240,245","245.06,127.97,135.09"
129,라벤더, lavender,"230,230,250","232.28,138.0,126.37"
130,게인스보로, gainsboro,"220,220,220","220.0,128.0,128.0"
131,라이트그레이, lightgrey,"211,211,211","211.0,128.0,128.0"
132,실버, silver,"192,192,192","192.0,128.0,128.0"
133,다크그레이, darkgray,"169,169,169","169.0,128.0,128.0"
134,라이트슬레이트그레이, lightslategray,"119,136,153","132.85,139.37,118.12"
135,그레이, gray,"128,128,128","128.0,128.0,128.0"
136,슬레이트그레이, slategray,"112,128,144","125.04,138.7,118.7"
137,딤그레이, dimgray,"105,105,105","105.0,128.0,128.0"
138,다크슬레이트그레이, darkslategray,"47,79,79","69.43,133.4,112.0"
139,블랙, black,"0,0,0","0.0,128.0,128.0"
